Date;Open;High;Low;Close;Volume;Adj Close
2013-09-20;10.50;10.51;8.01;8.73;72072500;8.73
2013-09-19;10.48;10.68;10.23;10.52;26905900;10.52
2013-09-18;10.69;10.79;10.24;10.40;21009500;10.40
2013-09-17;10.31;10.78;10.31;10.55;19700000;10.55
2013-09-16;10.33;10.44;10.20;10.31;13960900;10.31
2013-09-13;10.45;10.48;10.24;10.28;17351900;10.28
2013-09-12;10.52;10.69;10.35;10.43;17925100;10.43
2013-09-11;10.82;10.85;10.37;10.43;27800700;10.43
2013-09-10;11.16;11.20;10.89;10.94;34307300;10.94
2013-09-09;11.15;11.65;11.03;11.53;36864900;11.53
2013-09-06;11.14;11.15;10.81;10.84;16919500;10.84
2013-09-05;11.15;11.33;10.77;10.99;40031400;10.99
2013-09-04;10.38;10.89;10.21;10.75;30307900;10.75
2013-09-03;10.32;10.48;10.14;10.21;22668700;10.21
2013-08-30;10.17;10.26;10.06;10.12;12720300;10.12
2013-08-29;10.35;10.45;10.20;10.26;9943900;10.26
2013-08-28;10.00;10.68;9.47;10.30;31274900;10.30
2013-08-27;10.34;10.39;10.01;10.03;20685200;10.03
2013-08-26;10.32;10.64;10.31;10.42;14351000;10.42
2013-08-23;10.24;10.43;10.19;10.34;11328300;10.34
2013-08-22;10.12;10.41;10.12;10.19;8889500;10.19
2013-08-21;10.39;10.50;10.12;10.25;22112800;10.25
2013-08-20;10.18;10.54;10.05;10.54;16291600;10.54
2013-08-19;10.29;10.50;10.09;10.32;17854700;10.32
2013-08-16;10.80;10.90;10.40;10.51;29248600;10.51
2013-08-15;10.90;11.00;10.74;10.96;20780600;10.96
2013-08-14;11.18;11.56;10.77;11.04;44830500;11.04
2013-08-13;10.99;12.18;10.74;10.93;127211600;10.93
2013-08-12;10.65;10.93;10.12;10.78;92858900;10.78
2013-08-09;9.78;9.98;9.54;9.76;51295700;9.76
2013-08-08;9.23;9.40;9.15;9.23;8858400;9.23
2013-08-07;9.49;9.64;9.11;9.21;17327300;9.21
2013-08-06;9.64;9.88;9.41;9.57;24104900;9.57
2013-08-05;9.00;9.77;8.98;9.58;33620900;9.58
2013-08-02;8.77;8.94;8.72;8.92;8390200;8.92
2013-08-01;8.89;8.91;8.72;8.76;8673400;8.76
2013-07-31;8.65;8.91;8.65;8.84;13802700;8.84
2013-07-30;8.64;8.92;8.62;8.70;14920400;8.70
2013-07-29;8.80;8.90;8.57;8.67;17088500;8.67
